deployment_code,deployment_code,,deployment_code_yyyymmdd,,,,,,deployment_code
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230316_ADRIFT_044,,SWFSC_ORE_20230316_ADRIFT_044,ADRIFT,044,ADRIFT_044,,,SWFSC_ORE_20230316_ADRIFT_044
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20230316_ADRIFT_045,,SWFSC_ORE_20230316_ADRIFT_045,ADRIFT,045,ADRIFT_045,,,SWFSC_ORE_20230316_ADRIFT_045
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_046,,SWFSC_MBY_20230311_ADRIFT_046,ADRIFT,046,ADRIFT_046,,,SWFSC_MBY_20230311_ADRIFT_046
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_047,,SWFSC_MBY_20230311_ADRIFT_047,ADRIFT,047,ADRIFT_047,,,SWFSC_MBY_20230311_ADRIFT_047
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_048,,SWFSC_MBY_20230311_ADRIFT_048,ADRIFT,048,ADRIFT_048,,,SWFSC_MBY_20230311_ADRIFT_048
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_049,,SWFSC_MBY_20230311_ADRIFT_049,ADRIFT,049,ADRIFT_049,,,SWFSC_MBY_20230311_ADRIFT_049
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_050,,SWFSC_MBY_20230311_ADRIFT_050,ADRIFT,050,ADRIFT_050,,,SWFSC_MBY_20230311_ADRIFT_050
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_051,,SWFSC_MBY_20230311_ADRIFT_051,ADRIFT,051,ADRIFT_051,,,SWFSC_MBY_20230311_ADRIFT_051
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_052,,SWFSC_MBY_20230311_ADRIFT_052,ADRIFT,052,ADRIFT_052,,,SWFSC_MBY_20230311_ADRIFT_052
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20230311_ADRIFT_053,,SWFSC_MBY_20230311_ADRIFT_053,ADRIFT,053,ADRIFT_053,,,SWFSC_MBY_20230311_ADRIFT_053
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20230316_ADRIFT_054,,SWFSC_HUM_20230316_ADRIFT_054,ADRIFT,054,ADRIFT_054,,,SWFSC_HUM_20230316_ADRIFT_054
