organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_MBY_20231106_ADRIFT_107,SOUNDTRAP_RECORDING,"SOUNDTRAP_7934,HTI_856139,HTI_856148",2023-11-06T21:00:00Z,2023-11-10T20:24:01Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T21:00:00Z,2023-11-10T20:24:01Z,0.25,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_107,
SWFSC,SWFSC_MBY_20231106_ADRIFT_108,SOUNDTRAP_RECORDING,"SOUNDTRAP_7519,HTI_856154,HTI_856170",2023-11-06T21:41:59Z,2023-11-10T21:24:00Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T21:41:59Z,2023-11-10T21:24:00Z,0.25,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_108,
SWFSC,SWFSC_MND_20160821_PASCAL_003,SOUNDTRAP_RECORDING,"SOUNDTRAP_2438,HTI_856051,HTI_856067",2016-08-21T10:37:16Z,2016-09-02T16:39:16Z,120,600,288,16,1,2,WAV,UTC,2016-08-21T10:37:16Z,2016-09-02T16:39:16Z,0.25,144,COMPROMISED,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_003,
SWFSC,SWFSC_MND_20160827_PASCAL_010,SM3M_RECORDINGS,"SOUNDTRAP_SM3M_2,HTI_856046,HTI_856039",2016-08-27T17:44:06Z,2016-09-17T04:24:05Z,114,114,256,16,1,2,WAV,UTC,2016-08-27T17:44:06Z,2016-09-17T04:24:05Z,0.03,256,GOOD,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_010,
SWFSC,SWFSC_MOB_20160904_PASCAL_021,SOUNDTRAP_RECORDING,"SOUNDTRAP_8505,HTI_856060,HTI_856058",2016-09-03T23:54:34Z,2016-09-25T10:02:46Z,120,600,288,16,1,2,WAV,UTC,2016-09-03T23:54:34Z,2016-09-25T10:02:46Z,0,144,GOOD,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_021,
SWFSC,SWFSC_MOB_20180830_CCES_012,SOUNDTRAP_RECORDING,"SOUNDTRAP_1544081436,HTI_856097,HTI_856017",2018-08-30T02:58:44Z,2018-10-06T17:00:44Z,120,1200,288,16,1,2,WAV,UTC,2018-08-30T02:58:44Z,2018-10-06T17:00:44Z,0.02,288,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_012,
SWFSC,SWFSC_MOB_20220423_ADRIFT_013,SOUNDTRAP_RECORDING,"SOUNDTRAP_6655,HTI_856163,HTI_856171",2022-04-23T20:44:52Z,2022-05-04T20:36:02Z,1350,1350,384,16,1,2,WAV,UTC,2022-04-23T20:44:52Z,2022-05-04T20:36:02Z,1,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_013,
SWFSC,SWFSC_NEPAC_20240817_CALCURCEAS_001,SOUNDTRAP_RECORDING,"SOUNDTRAP_7951,HTI_856135,HTI_856147",2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_001,
SWFSC,SWFSC_NEPAC_20240820_CALCURCEAS_002,SOUNDTRAP_RECORDING,"SOUNDTRAP_6663,HTI_856164,HTI_856175",2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,0.5,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_002,
SWFSC,SWFSC_NEPAC_20240820_CALCURCEAS_003,SOUNDTRAP_RECORDING,"SOUNDTRAP_7517,HTI_856154,HTI_856170",2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,0.1,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_003,
SWFSC,SWFSC_NEPAC_20240821_CALCURCEAS_004,SOUNDTRAP_RECORDING,"SOUNDTRAP_7518,HTI_856141,HTI_856144",2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_004,
SWFSC,SWFSC_NEPAC_20240823_CALCURCEAS_006,SOUNDTRAP_RECORDING,"SOUNDTRAP_7936,HTI_856139,HTI_856148",2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_006,
SWFSC,SWFSC_NEPAC_20240913_CALCURCEAS_008,SOUNDTRAP_RECORDING,"SOUNDTRAP_7936,HTI_856136,HTI_856145",2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_008,
SWFSC,SWFSC_NEPAC_20240914_CALCURCEAS_009,SOUNDTRAP_RECORDING,"SOUNDTRAP_7517,HTI_856138,HTI_856151",2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,0.115,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_009,
SWFSC,SWFSC_NEPAC_20240914_CALCURCEAS_010,SOUNDTRAP_RECORDING,"SOUNDTRAP_6663,HTI_856159,HTI_856177",2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,360,360,384,16,1,2,WAV,UTC,2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,0.35,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_010,
SWFSC,SWFSC_NEPAC_20240915_CALCURCEAS_011,SOUNDTRAP_RECORDING,"SOUNDTRAP_7518,HTI_856156,HTI_856167",2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,0.06,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_011,
SWFSC,SWFSC_NEPAC_20241001_CALCURCEAS_012,SOUNDTRAP_RECORDING,"SOUNDTRAP_7930,HTI_856135,HTI_856147",2024-10-01T23:16:00Z,2024-10-05T03:02:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-01T23:16:00Z,2024-10-05T03:02:00Z,0.3,192,COMPROMISED,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_012,
SWFSC,SWFSC_NEPAC_20241002_CALCURCEAS_013,SOUNDTRAP_RECORDING,"SOUNDTRAP_7518,HTI_856163,HTI_856171",2024-10-02T01:10:42Z,2024-10-04T03:49:59Z,360,360,384,16,1,2,WAV,UTC,2024-10-02T01:10:42Z,2024-10-04T03:49:59Z,0.1,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_013,
SWFSC,SWFSC_NEPAC_20241002_CALCURCEAS_014,SOUNDTRAP_RECORDING,"SOUNDTRAP_7519,HTI_856161,HTI_856176",2024-10-02T01:53:00Z,2024-10-05T02:06:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-02T01:53:00Z,2024-10-05T02:06:00Z,0.02,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_014,
SWFSC,SWFSC_NEPAC_20241005_CALCURCEAS_015,SOUNDTRAP_RECORDING,"SOUNDTRAP_6663,HTI_856136,HTI_856145",2024-10-05T14:30:00Z,2024-10-11T14:32:59Z,360,360,384,16,1,2,WAV,UTC,2024-10-05T14:30:00Z,2024-10-11T14:32:59Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_015,
SWFSC,SWFSC_NEPAC_20241006_CALCURCEAS_016,SOUNDTRAP_RECORDING,"SOUNDTRAP_7936,HTI_856135,HTI_856147",2024-10-06T02:00:07Z,2024-10-13T15:54:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-06T02:00:07Z,2024-10-13T15:54:00Z,0.035,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_016,
SWFSC,SWFSC_NEPAC_20241006_CALCURCEAS_017,SOUNDTRAP_RECORDING,"SOUNDTRAP_7518,HTI_856159,HTI_856177",2024-10-06T14:45:00Z,2024-10-12T13:53:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-06T14:45:00Z,2024-10-12T13:53:00Z,0.125,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_017,
SWFSC,SWFSC_NEPAC_20241006_CALCURCEAS_018,SOUNDTRAP_RECORDING,"SOUNDTRAP_7930,HTI_856138,HTI_856151",2024-10-06T23:54:02Z,2024-10-11T21:40:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-06T23:54:02Z,2024-10-11T21:40:00Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_018,
SWFSC,SWFSC_NEPAC_20241009_CALCURCEAS_019,SOUNDTRAP_RECORDING,"SOUNDTRAP_8595,HTI_856155,HTI_856166",2024-10-09T04:56:00Z,2024-10-15T21:30:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-09T04:56:00Z,2024-10-15T21:30:00Z,0.1,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_019,
SWFSC,SWFSC_NEPAC_20241026_CALCURCEAS_020,SOUNDTRAP_RECORDING,"SOUNDTRAP_7936,HTI_856163,HTI_856171",2024-10-26T14:48:01Z,2024-11-09T09:35:16Z,360,360,384,16,1,2,WAV,UTC,2024-10-26T14:48:01Z,2024-11-09T09:35:16Z,0.02,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_020,
SWFSC,SWFSC_NEPAC_20241027_CALCURCEAS_021,SOUNDTRAP_RECORDING,"SOUNDTRAP_8595,HTI_856141,HTI_856144",2024-10-27T01:06:01Z,2024-11-07T14:56:23Z,360,360,384,16,1,2,WAV,UTC,2024-10-27T01:06:01Z,2024-11-07T14:56:23Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_021,
SWFSC,SWFSC_NEPAC_20241027_CALCURCEAS_022,SOUNDTRAP_RECORDING,"SOUNDTRAP_7521,HTI_856138,HTI_856151",2024-10-27T14:06:00Z,2024-11-09T07:40:32Z,360,360,384,16,1,2,WAV,UTC,2024-10-27T14:06:00Z,2024-11-09T07:40:32Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_022,
SWFSC,SWFSC_NEPAC_20241028_CALCURCEAS_023,SOUNDTRAP_RECORDING,"SOUNDTRAP_7518,HTI_856156,HTI_856167",2024-10-28T00:00:00Z,2024-11-11T06:27:54Z,360,360,384,16,1,2,WAV,UTC,2024-10-28T00:00:00Z,2024-11-11T06:27:54Z,0.02,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_023,
SWFSC,SWFSC_NEPAC_20241111_CALCURCEAS_024,SOUNDTRAP_RECORDING,"SOUNDTRAP_8595,HTI_856141,HTI_856144",2024-11-11T02:00:00Z,2024-11-24T15:16:00Z,360,360,384,16,1,2,WAV,UTC,2024-11-11T02:00:00Z,2024-11-24T15:16:00Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_024,
SWFSC,SWFSC_NEPAC_20241120_CALCURCEAS_025,SOUNDTRAP_RECORDING,"SOUNDTRAP_7517,HTI_856163,HTI_856171",2024-11-20T16:42:01Z,2024-12-03T17:15:22Z,360,360,384,16,1,2,WAV,UTC,2024-11-20T16:42:01Z,2024-12-03T17:15:22Z,0.015,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_025,
SWFSC,SWFSC_NEPAC_20241122_CALCURCEAS_026,SOUNDTRAP_RECORDING,"SOUNDTRAP_7939,HTI_856138,HTI_856151",2024-11-22T14:36:02Z,2024-12-02T23:09:46Z,360,360,384,16,1,2,WAV,UTC,2024-11-22T14:36:02Z,2024-12-02T23:09:46Z,0,192,GOOD,,100,,,gs://swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_026,
