"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","knots","DriftName","DeploymentSite"
3508113131,28.89328,-116.39192,2018-11-09 09:44:51,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.271102673998732,"CCES_022","BCN"
3508113132,28.89337,-116.39174,2018-11-09 09:48:24,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.257024502357382,"CCES_022","BCN"
3508113133,28.89447,-116.39012,2018-11-09 10:13:46,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.245536533700729,"CCES_022","BCN"
3508113134,28.89456,-116.38991,2018-11-09 10:20:34,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.223086969355705,"CCES_022","BCN"
3508113135,28.8955,-116.38875,2018-11-09 10:43:46,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.189419865205531,"CCES_022","BCN"
3508113136,28.89569,-116.38849,2018-11-09 10:49:29,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.208794918663759,"CCES_022","BCN"
3508113137,28.89667,-116.38716,2018-11-09 11:17:43,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.19376134091131,"CCES_022","BCN"
3508113138,28.8978,-116.38542,2018-11-09 11:47:27,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.229364458168916,"CCES_022","BCN"
3508113139,28.89862,-116.38429,2018-11-09 12:17:37,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.153113029089878,"CCES_022","BCN"
3508113140,28.89958,-116.3831,2018-11-09 12:43:17,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.192852632143761,"CCES_022","BCN"
3508113141,28.89973,-116.38293,2018-11-09 12:47:27,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.196075179650777,"CCES_022","BCN"
3508113142,28.90088,-116.38155,2018-11-09 13:17:03,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.199975283668377,"CCES_022","BCN"
3508113143,28.90097,-116.38148,2018-11-09 13:19:35,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.198428537049835,"CCES_022","BCN"
3508113144,28.90194,-116.38046,2018-11-09 13:43:06,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.196659746118267,"CCES_022","BCN"
3508113145,28.90213,-116.38036,2018-11-09 13:47:05,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.198357921319118,"CCES_022","BCN"
3508113146,28.90346,-116.37933,2018-11-09 14:15:29,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.201003471771976,"CCES_022","BCN"
3508113147,28.90353,-116.37927,2018-11-09 14:16:58,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.203512120248611,"CCES_022","BCN"
3508113148,28.90498,-116.37784,2018-11-09 14:46:33,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.231554142406789,"CCES_022","BCN"
3508113149,28.90529,-116.37784,2018-11-09 14:50:23,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.232022338478082,"CCES_022","BCN"
3508113150,28.9068,-116.37657,2018-11-09 15:14:03,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.278313007236785,"CCES_022","BCN"
3508113151,28.90697,-116.37639,2018-11-09 15:16:40,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.287633931278418,"CCES_022","BCN"
3508113152,28.9089,-116.37447,2018-11-09 15:46:27,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.308627823634516,"CCES_022","BCN"
3508113153,28.91122,-116.37215,2018-11-09 16:19:28,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.33541592653308,"CCES_022","BCN"
3508113154,28.9127,-116.37047,2018-11-09 16:42:21,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.323711078163162,"CCES_022","BCN"
3508113155,28.91302,-116.37003,2018-11-09 16:48:05,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.324620050039783,"CCES_022","BCN"
3508113156,28.91468,-116.36804,2018-11-09 17:15:55,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.310650921682816,"CCES_022","BCN"
