organization_code,deployment_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_start_datetime,analysis_end_datetime,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_dataset_url,analysis_release_data,analysis_release_pacm,detector_codes,analysis_citation_codes,detector_version,detector_json,detector_output_filename,detector_output_uri,analysis_analysts,analysis_json,analysis_comments
SWFSC,SWFSC_HUM_20160821_PASCAL_002,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-20T18:44:06+0000,2016-09-01T02:06:05+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20160901_PASCAL_016,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-09-01T13:22:02+0000,2016-09-21T00:04:02+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20180725_CCES_004,BEAKED_ANALYSIS,SM3M_RECORDINGS,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-07-30T00:00:00+0000,2018-10-12T23:59:59+0000,256.0,0.0,256.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20180816_CCES_008,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-08-16T04:38:04+0000,2018-10-01T01:59:55+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2021-08-22T18:59:59+0000,2021-08-29T09:30:30+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20220728_ADRIFT_030,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-07-28T18:59:58+0000,2022-08-01T11:29:40+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20220728_ADRIFT_031,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-07-28T18:59:58+0000,2022-08-01T08:52:13+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20220913_ADRIFT_033,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-09-13T04:44:56+0000,2022-09-15T17:29:45+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20221116_ADRIFT_036,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-11-16T19:14:57+0000,2022-11-20T07:37:12+0000,384.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_HUM_20221213_ADRIFT_040,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2022-12-13T21:29:57+0000,2022-12-16T21:29:49+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
