organization_code,deployment_code,recording_device_codes,recording_code,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_device_calibration_state_code,recording_redacted,recording_ncei_archived,recording_json,recording_uri,recording_calibration_uri,recording_comments
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,"SOUNDTRAP_5987,HTI_856147,HTI_856135",SOUNDTRAP_RECORDING,2021-08-22T18:59:59+0000,2021-08-29T09:30:30+0000,360.0,720.0,384.0,16,1,2,WAV,UTC,2021-08-22T18:59:59+0000,2021-08-29T09:30:30+0000,0.05,384.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_001,,
SWFSC,SWFSC_HUM_20220118_ADRIFT_012,"HTI_856168,HTI_856162,SOUNDTRAP_5992",SOUNDTRAP_RECORDING,2022-01-18T03:42:19+0000,2022-01-21T19:39:12+0000,360.0,360.0,384.0,16,1,2,WAV,UTC,2022-01-18T03:42:19+0000,2022-01-21T19:39:12+0000,0.03,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_012,,
SWFSC,SWFSC_HUM_20220425_ADRIFT_017,"HTI_856168,HTI_856162,SOUNDTRAP_5987",SOUNDTRAP_RECORDING,2022-04-25T18:59:59+0000,2022-04-28T19:22:16+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-04-25T18:59:59+0000,2022-04-28T19:22:16+0000,0.08,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_017,,
SWFSC,SWFSC_HUM_20220425_ADRIFT_018,"SOUNDTRAP_5989,HTI_856155,HTI_856166",SOUNDTRAP_RECORDING,2022-04-25T19:59:57+0000,2022-04-28T20:22:15+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-04-25T19:59:57+0000,2022-04-28T20:22:15+0000,0.08,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_018,,
SWFSC,SWFSC_HUM_20220728_ADRIFT_030,"HTI_856176,HTI_856161,SOUNDTRAP_5987",SOUNDTRAP_RECORDING,2022-07-28T18:59:58+0000,2022-08-01T11:29:40+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-07-28T18:59:58+0000,2022-08-01T11:29:40+0000,0.05,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_030,,
SWFSC,SWFSC_HUM_20220728_ADRIFT_031,"SOUNDTRAP_5984,HTI_856155,HTI_856166",SOUNDTRAP_RECORDING,2022-07-28T18:59:58+0000,2022-08-01T08:52:13+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-07-28T18:59:58+0000,2022-08-01T08:52:13+0000,0.05,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_031,,
SWFSC,SWFSC_HUM_20220913_ADRIFT_032,"SOUNDTRAP_5987,HTI_856155,HTI_856166",SOUNDTRAP_RECORDING,2022-09-13T06:59:56+0000,2022-09-15T18:14:45+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-09-13T06:59:56+0000,2022-09-15T18:14:45+0000,0.03,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_032,,
SWFSC,SWFSC_HUM_20220913_ADRIFT_033,"HTI_856168,SOUNDTRAP_5984,HTI_856162",SOUNDTRAP_RECORDING,2022-09-13T04:44:56+0000,2022-09-15T17:29:45+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-09-13T04:44:56+0000,2022-09-15T17:29:45+0000,0.25,192.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_033,,
SWFSC,SWFSC_HUM_20221116_ADRIFT_036,"SOUNDTRAP_5984,HTI_856155,HTI_856166",SOUNDTRAP_RECORDING,2022-11-16T19:14:57+0000,2022-11-20T07:37:12+0000,1350.0,1350.0,384.0,16,1,2,WAV,UTC,2022-11-16T19:14:57+0000,2022-11-20T07:37:12+0000,0.05,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_036,,
SWFSC,SWFSC_HUM_20221116_ADRIFT_037,"HTI_856162,HTI_856168",SOUNDTRAP_RECORDING,2022-11-16T18:59:58+0000,2022-11-21T10:59:46+0000,1350.0,1350.0,288.0,16,1,2,WAV,UTC,2022-11-16T18:59:58+0000,2022-11-21T10:59:46+0000,0.03,192.0,GOOD,,100.0,,,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_037,,
