deployment_code,analysis_start_datetime,analysis_end_datetime,organization_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_release_data,analysis_release_pacm,detector_codes
SWFSC_NEPAC_20241006_CALCURCEAS_016,2024-10-06T02:00:07Z,2024-10-13T15:54:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241006_CALCURCEAS_017,2024-10-06T14:45:00Z,2024-10-12T13:53:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241006_CALCURCEAS_018,2024-10-06T23:54:02Z,2024-10-11T21:40:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241009_CALCURCEAS_019,2024-10-09T04:56:00Z,2024-10-15T21:30:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241026_CALCURCEAS_020,2024-10-26T14:48:01Z,2024-11-09T09:35:16Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241027_CALCURCEAS_021,2024-10-27T01:06:01Z,2024-11-07T14:56:23Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241027_CALCURCEAS_022,2024-10-27T14:06:00Z,2024-11-09T07:40:32Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241028_CALCURCEAS_023,2024-10-28T00:00:00Z,2024-11-11T06:27:54Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241111_CALCURCEAS_024,2024-11-11T02:00:00Z,2024-11-24T15:16:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241120_CALCURCEAS_025,2024-11-20T16:42:01Z,2024-12-03T17:15:22Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241122_CALCURCEAS_026,2024-11-22T14:36:02Z,2024-12-02T23:09:46Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241123_CALCURCEAS_027,2024-11-23T16:00:02Z,2024-12-03T06:17:03Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
